code,Variable,Frequency,Units,Source,cumulative,sa,transformation,url,download_group,Block1-Global,Block2-TradeGoodsVal,Block3-TradeGoodsVol,Block4-Freight,Block5-TradeServices,Block6-EconomicAct,Block7-Soft,Block8-Developed,Block9-Developing,x_world,x_world_block_1,x_vol_world2,x_vol_world2_block_1,x_servs_world,x_servs_world_block_1,x_world_p,x_vol_world2_p,x_servs_world_p
x_cn,"Merchandise exports, China (OECD)",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
x_us,"Merchandise exports, United States",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_de,"Merchandise exports, Germany",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_jp,"Merchandise exports, Japan",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,13,13,4,4,0,0,1,1,2
x_nl,"Merchandise exports, Netherlands",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,10,10,0,0,3,3,1,1,2
x_kr,"Merchandise exports, South Korea",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,14,14,0,0,1,1,2
x_fr,"Merchandise exports, France",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_it,"Merchandise exports, Italy",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,3,3,12,12,0,0,1,1,2
x_uk,"Merchandise exports, United Kingdom",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
x_mx,"Merchandise exports, Mexico",Monthly,US$ billions,OECD,n,y,growthr,https://stats.oecd.org/restsdmx/sdmx.ashx/GetData/MEI/FRA+DEU+ITA+JPN+KOR+NLD+GBR+USA+OECD+CHN+IND+RUS+BEL+BRA+ZAF+MEX+CAN+BRIICS.XTEXVA01.CXMLSA.M/all?startTime=,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
