date_forecast,series,value,target,target_period
2020-04-01,forecast,-2.616933581266766,x_servs_world,2020-06-01
2020-05-01,forecast,-9.928530473110683,x_servs_world,2020-06-01
2020-06-01,forecast,-17.3882260937549,x_servs_world,2020-06-01
2020-07-01,forecast,-19.46563207246449,x_servs_world,2020-06-01
2020-08-07,forecast,-13.887538392367716,x_servs_world,2020-06-01
2020-08-16,forecast,-12.880184455936345,x_servs_world,2020-06-01
2020-08-25,forecast,-14.901606606341378,x_servs_world,2020-06-01
2020-09-01,forecast,-14.216619624216742,x_servs_world,2020-06-01
2020-04-01,impact_revisions,0,x_servs_world,2020-06-01
2020-05-01,impact_revisions,-0.00428574363166567,x_servs_world,2020-06-01
2020-06-01,impact_revisions,0,x_servs_world,2020-06-01
2020-07-01,impact_revisions,0,x_servs_world,2020-06-01
2020-08-07,impact_revisions,0.02747955743849783,x_servs_world,2020-06-01
2020-08-16,impact_revisions,0.03142482412732406,x_servs_world,2020-06-01
2020-08-25,impact_revisions,-0.7738985268022636,x_servs_world,2020-06-01
2020-09-01,impact_revisions,-0.02238748522228606,x_servs_world,2020-06-01
2020-04-01,x_nl,-4.2983098009782754e-8,x_servs_world,2020-06-01
2020-05-01,x_nl,-1.1501550056134521e-7,x_servs_world,2020-06-01
2020-06-01,x_nl,7.494148252523028e-8,x_servs_world,2020-06-01
2020-07-01,x_nl,-6.762312342204043e-8,x_servs_world,2020-06-01
2020-08-07,x_nl,5.941168626096087e-7,x_servs_world,2020-06-01
2020-08-16,x_nl,2.6782832031799256e-7,x_servs_world,2020-06-01
2020-08-25,x_nl,NA,x_servs_world,2020-06-01
2020-09-01,x_nl,NA,x_servs_world,2020-06-01
2020-04-01,x_servs_us,-1.5263441263440497e-7,x_servs_world,2020-06-01
2020-05-01,x_servs_us,3.1604521647332304e-8,x_servs_world,2020-06-01
2020-06-01,x_servs_us,-3.279262437131367e-6,x_servs_world,2020-06-01
2020-07-01,x_servs_us,-1.7133559501176288e-6,x_servs_world,2020-06-01
2020-08-07,x_servs_us,3.407046170614786e-7,x_servs_world,2020-06-01
2020-08-16,x_servs_us,NA,x_servs_world,2020-06-01
2020-08-25,x_servs_us,NA,x_servs_world,2020-06-01
2020-09-01,x_servs_us,NA,x_servs_world,2020-06-01
2020-04-01,p_manuf,0.013016692818732859,x_servs_world,2020-06-01
2020-05-01,p_manuf,-0.04122820087657762,x_servs_world,2020-06-01
2020-06-01,p_manuf,0.1488165161494937,x_servs_world,2020-06-01
2020-07-01,p_manuf,0.06451852085251063,x_servs_world,2020-06-01
2020-08-07,p_manuf,0.07799619280827867,x_servs_world,2020-06-01
2020-08-16,p_manuf,NA,x_servs_world,2020-06-01
2020-08-25,p_manuf,NA,x_servs_world,2020-06-01
2020-09-01,p_manuf,0.00609853668333275,x_servs_world,2020-06-01
2020-04-01,bci_nl,-3.9211774173631864,x_servs_world,2020-06-01
2020-05-01,bci_nl,-6.109603882586297,x_servs_world,2020-06-01
2020-06-01,bci_nl,-2.6347608337087514,x_servs_world,2020-06-01
2020-07-01,bci_nl,3.317702549885921,x_servs_world,2020-06-01
2020-08-07,bci_nl,-0.03850802238173328,x_servs_world,2020-06-01
2020-08-16,bci_nl,NA,x_servs_world,2020-06-01
2020-08-25,bci_nl,NA,x_servs_world,2020-06-01
2020-09-01,bci_nl,NA,x_servs_world,2020-06-01
2020-04-01,manuf_orders_us_2,0.05012974407465776,x_servs_world,2020-06-01
2020-05-01,manuf_orders_us_2,0.03692717644025636,x_servs_world,2020-06-01
2020-06-01,manuf_orders_us_2,-0.3057035374733687,x_servs_world,2020-06-01
2020-07-01,manuf_orders_us_2,-0.21008832239870665,x_servs_world,2020-06-01
2020-08-07,manuf_orders_us_2,0.3523152791541377,x_servs_world,2020-06-01
2020-08-16,manuf_orders_us_2,NA,x_servs_world,2020-06-01
2020-08-25,manuf_orders_us_2,NA,x_servs_world,2020-06-01
2020-09-01,manuf_orders_us_2,NA,x_servs_world,2020-06-01
2020-04-01,rti_val_fr,-0.00433032501828006,x_servs_world,2020-06-01
2020-05-01,rti_val_fr,-0.00649911699885881,x_servs_world,2020-06-01
2020-06-01,rti_val_fr,-0.6982023439522047,x_servs_world,2020-06-01
2020-07-01,rti_val_fr,-1.1404770771253157,x_servs_world,2020-06-01
2020-08-07,rti_val_fr,0.3766884163334191,x_servs_world,2020-06-01
2020-08-16,rti_val_fr,NA,x_servs_world,2020-06-01
2020-08-25,rti_val_fr,NA,x_servs_world,2020-06-01
2020-09-01,rti_val_fr,0.0752429662876064,x_servs_world,2020-06-01
2020-04-01,ipi_jp,1.962933431515761e-7,x_servs_world,2020-06-01
2020-05-01,ipi_jp,8.855410299209333e-8,x_servs_world,2020-06-01
2020-06-01,ipi_jp,3.4683324987856626e-8,x_servs_world,2020-06-01
2020-07-01,ipi_jp,-1.261751176745037e-7,x_servs_world,2020-06-01
2020-08-07,ipi_jp,3.692059924946011e-7,x_servs_world,2020-06-01
2020-08-16,ipi_jp,NA,x_servs_world,2020-06-01
2020-08-25,ipi_jp,NA,x_servs_world,2020-06-01
2020-09-01,ipi_jp,4.699511603974857e-8,x_servs_world,2020-06-01
2020-04-01,manuf_emp_fut_it,0.04948045594585953,x_servs_world,2020-06-01
2020-05-01,manuf_emp_fut_it,-0.598539729655498,x_servs_world,2020-06-01
2020-06-01,manuf_emp_fut_it,-0.20205820093053703,x_servs_world,2020-06-01
2020-07-01,manuf_emp_fut_it,0.977804544917378,x_servs_world,2020-06-01
2020-08-07,manuf_emp_fut_it,0.2607171139231107,x_servs_world,2020-06-01
2020-08-16,manuf_emp_fut_it,NA,x_servs_world,2020-06-01
2020-08-25,manuf_emp_fut_it,NA,x_servs_world,2020-06-01
2020-09-01,manuf_emp_fut_it,-0.05919189147755654,x_servs_world,2020-06-01
2020-04-01,ipi_eu27,0.14792828879234157,x_servs_world,2020-06-01
2020-05-01,ipi_eu27,0.15375148306762432,x_servs_world,2020-06-01
2020-06-01,ipi_eu27,-1.147062013924922,x_servs_world,2020-06-01
